id,text
1265574130755219458,"RT @Crazzyintheusa: Reporter: “Look, you can see here, nobody's wearing [masks]”

Bystander: ""Including the Cameraman — Half your crew’s no…"
1265574130746884104,@VANTE_pesos Awww it's cute mimi 🥺❤️❤️
1265574130784645125,"RT @jobowockees: No one has the right to run down someone’s pain, as if it’s easy. Maging sensitive din tayo minsan.."
1265574130767859712,@blackhysbear as we should 😭
1265574130772062208,"RT @nearlylegal: OK, that is an opening... @maitlis tells it how it is.  https://t.co/1J3CMWHVpO"
1265574130784624640,RT @utdreport: The Premier League will tell clubs at Thursday's shareholders' meeting that they want the 2020/21 season to start on the wee…
1265574130772033537,i just know when yoongi was recording for some songs in d2...i can HEAR him smirking while singing.... i just KNOW it.....
1265574130751021057,@GeraldoRivera @Twitter @realDonaldTrump @JoeBiden Joe Biden doesn't spend his whole fucking day lying and insulting people on Twitter....
1265574130776190977,"RT @larryelder: ""If you don’t vote Joe, you can’t wear a Fro.""
--@beesknees1960 

#YouAintBlackBiden https://t.co/n7O4NJ2JSH"
1265574130755174402,"Sometimes I think we need to talk about the dark web and show people what goes on in there, because y'all are too f… https://t.co/dUm1JRifMm"
1265574130771996678,RT @maxxvrde: a relationship where you’re also best friends&gt;&gt;
